name 	type 	id 	sp_cost	elem 	unk3 	unk4 	grade 	skill_type 	nb_target 	unk8 	delay 	state 	unk11 	unk12 	sk_point 	unk14 	max_lvl 	require_sk 	unk17 	unk18 	unk19 	unk20 	unk21 	unk22 	desc
Ðấu vật	0	10000	0	0	7367083	0	1	1	1	0	12	0	1	1	0	1	1	0	0	0	0	0	1	0	Tấn công bình thường
Thuật mưa đá	1	10001	9	1	7367083	0	1	2	1	0	19	0	1	1	1	1	10	0	0	0	0	1	1	0	Phép mưa thiên thạch
Lôi mộc	1	10002	13	1	7367083	0	2	2	1	0	20	0	1	1	3	1	10	10001	0	0	0	1	1	0	Gọi đại thụ để tấn công
Cạm bẫy	1	10003	14	1	7367083	0	2	2	1	0	20	0	1	1	3	1	10	10001	0	0	0	1	1	0	Tạo cạm bẩy để tấn công
Cây tinh	1	10004	18	1	7367083	0	3	3	1	2	26	3	1	1	6	1	10	10002	0	0	0	1	1	0	Gọi cây tinh để trói kẻ thù
Ném đá	1	10005	22	1	7367083	0	3	1	3	0	27	0	1	1	7	1	10	10003	2	0	0	1	1	0	Dùng xe bắn đá để tấn công
Ðịa nha	1	10006	28	1	7367083	0	4	1	1	0	9	0	1	1	9	1	10	10004	1	0	0	1	1	0	Dùng răng thú thần để tấn công
Ðá lăn	1	10007	34	1	7367083	0	5	1	2	0	17	0	1	1	10	1	10	10005	2	0	0	1	1	0	Dùng đá thần để tấn công
Phi sa tẩu thạch	1	10008	38	1	7367083	0	5	2	5	0	24	0	1	1	10	1	10	10005	0	0	0	1	1	0	Gọi bão cát để tấn công
Giải kết giới	1	10009	10	1	7367083	0	5	16	1	0	22	0	1	1	1	1	1	10006	0	0	0	1	1	0	Phép phá giải kết giới
kết giới	1	10010	33	1	7367083	0	5	4	1	1	8	101	1	1	12	1	10	10006	0	0	0	1	1	0	Mở cổng trời tránh tấn công
Thái Sơn áp đỉnh	1	10011	40	1	7367083	0	6	2	1	0	33	0	1	1	14	1	10	10007	0	0	0	1	1	0	Gọi thần núi giúp tấn công
Long trời lỡ đất	1	10012	50	1	7367083	0	8	2	8	0	37	0	1	1	18	1	10	10008	0	0	0	1	1	0	Tuyệt kỹ kinh thiên động địa
Vạn mã phi đằng	1	10013	45	1	7367083	0	6	2	8	0	26	0	1	1	14	1	10	10008	0	0	0	1	1	0	Gọi thiên quân vạn mã tấn công
Giải trừ kính	1	10014	10	1	7367083	0	6	16	1	0	22	0	1	1	1	1	1	10010	0	0	0	1	1	0	Phép phá giải kính 
Kính	1	10015	40	1	7367083	0	6	4	1	1	15	103	1	1	18	1	5	10010	0	0	0	1	1	0	Tạo tấm kính giúp phản đòn
Thuật nước ngập	2	11001	8	2	7367083	0	1	2	1	0	19	0	1	1	1	1	10	0	0	0	0	1	1	0	Gọi nước lũ làm ngập quân địch
Băng tường	2	11002	11	2	7367083	0	2	4	1	2	20	104	1	1	4	1	5	11001	0	0	0	1	1	0	Tạo bức tường băng để bảo vệ
Băng kiếm	2	11003	12	2	7367083	0	2	1	1	0	19	0	1	1	3	1	10	11001	2	0	0	1	1	0	Tạo băng kiếm để tấn công
Thanh lưu	2	11004	22	2	7367083	0	2	14	1	0	35	0	1	1	6	1	10	11002	0	0	0	1	1	0	Nước thần hồi phục HP và SP
Dũng tuyền	2	11005	18	2	7367083	0	3	1	1	0	20	0	1	1	5	1	10	11003	1	0	0	1	1	0	Gọi nước để tấn công
Thuật hồi ma	2	11006	35	2	7367083	0	6	6	1	0	30	0	1	1	8	1	10	11004	0	0	0	1	1	0	Phép hồi phục SP
Thuật trị liệu	2	11007	35	2	7367083	0	6	7	1	0	27	0	1	1	8	1	10	11004	0	0	0	1	1	0	Phép hồi phục HP
